A,B,C,D
1.0,28.0,45.99999999955296,530.9899999997765
2.0,15.0,56.34000001430511,297.12000000059606
3.0,32.0,66.0999999973178,603.050000000298
4.0,13.0,76.16000000715256,260.999999999553
5.0,36.0,86.25000001072884,675.2399999904633
6.0,15.0,95.99999999955297,297.10999999523165
7.0,39.0,106.05999999821186,729.1099999952316
8.0,2.0,116.08000000149012,63.199999998807904
9.0,21.0,126.05000000029803,405.1999999988079
10.0,3.0,136.26000000119208,81.13000000596047
11.0,35.0,146.36999998569488,657.1600000071526
12.0,9.0,156.23,189.25000001072883
13.0,15.0,166.1699999976158,297.35999999523165
14.0,14.0,176.01999999910592,279.26999999165537
15.0,29.0,186.10999999523162,549.1200000005961
16.0,16.0,196.08999999940394,315.1899999934435
17.0,16.0,206.03999999865889,315.05000000029804
18.0,21.0,216.08999999940394,405.32999999403955
19.0,5.0,226.21000000417231,117.03000000074506
20.0,32.0,236.35999999523162,603.1099999952316
21.0,28.0,246.1399999964237,531.2199999946356
22.0,24.0,256.0300000007451,459.0999999973178
23.0,6.0,266.25000001072885,135.28000001192092
24.0,33.0,276.18000000298025,621.1200000005961
25.0,19.0,286.0700000035763,369.0700000035763
26.0,7.0,296.23,153.13000000596045
27.0,24.0,306.2399999904633,459.10999999523165
28.0,4.0,316.1899999934435,99.07000000357628
29.0,8.0,326.12000000059606,171.23
30.0,15.0,336.3200000035763,297.0599999982119
31.0,18.0,346.2900000023842,351.05000000029804
32.0,21.0,356.16999999761583,405.3200000035763
33.0,34.0,366.12000000059606,639.089999999404
34.0,4.0,376.1899999934435,99.16999999761582
35.0,12.0,385.98,243.16000000715255
36.0,22.0,396.3200000035763,423.08000000149013
37.0,1.0,406.32999999403955,45.189999993443486
38.0,34.0,416.1300000059605,639.3299999940396
39.0,29.0,426.31000001311304,549.050000000298
40.0,24.0,436.3200000035763,459.16999999761583
41.0,8.0,446.32999999403955,171.35000000476836
42.0,4.0,456.3200000035763,99.15000000178814
43.0,23.0,466.2199999946356,441.26999999165537
44.0,20.0,476.01999999910595,387.25000001072885
45.0,33.0,486.1999999988079,621.1600000071526
46.0,31.0,496.01999999910595,585.1399999964237
47.0,20.0,506.00999999932947,387.00999999932947
48.0,0.0,516.1200000005961,27.299999992847443
49.0,25.0,527.0,477.0700000035763
50.0,20.0,536.050000000298,387.0300000007451
51.0,36.0,546.089999999404,675.1999999988079
52.0,10.0,556.2699999916554,207.18000000298022
53.0,34.0,566.2999999928475,639.1399999964237
54.0,1.0,576.2900000023842,45.25000001072883
55.0,18.0,586.1899999934435,351.2399999904633
56.0,29.0,596.1800000029803,549.2600000011921
57.0,31.0,606.1899999934435,585.3200000035763
58.0,19.0,616.280000011921,369.00999999932947
59.0,2.0,626.1999999988079,63.23
60.0,14.0,636.2999999928475,279.3500000047684
61.0,8.0,646.3400000143051,171.21000000417231
62.0,34.0,656.0300000007451,639.3599999952316
63.0,1.0,666.23,45.18000000298023
64.0,38.0,676.3699999856949,711.2600000011921
65.0,10.0,686.3500000047684,207.09999999731778
66.0,18.0,696.2100000041723,351.3500000047684
67.0,19.0,706.0999999973178,369.1899999934435
68.0,0.0,715.999999999553,27.260000001192093
69.0,16.0,726.019999999106,315.1999999988079
70.0,26.0,736.2199999946356,495.089999999404
71.0,30.0,746.1800000029803,567.0700000035763
72.0,11.0,756.3299999940396,224.98
73.0,36.0,766.1200000005961,675.3400000143051
74.0,2.0,776.3599999952316,63.36999998569488
75.0,17.0,786.2699999916554,333.28000001192095
76.0,2.0,796.0399999986589,63.21999999463558
77.0,4.0,806.0399999986589,99.29000000238419
78.0,14.0,816.2699999916554,279.16999999761583
79.0,2.0,825.9899999997765,63.08999999940395
80.0,26.0,836.1300000059605,495.3500000047684
81.0,9.0,846.1099999952316,189.3400000143051
82.0,37.0,856.3400000143051,693.2500000107289
83.0,30.0,866.1800000029803,567.280000011921
84.0,8.0,876.2399999904633,171.23
85.0,36.0,886.3699999856949,675.1600000071526
86.0,8.0,896.1200000005961,171.10999999523162
87.0,19.0,906.1500000017882,369.2900000023842
88.0,4.0,915.999999999553,98.98
89.0,10.0,926.2199999946356,207.36999998569488
90.0,8.0,936.0999999973178,171.15000000178813
91.0,34.0,946.0999999973178,639.23
92.0,14.0,955.9899999997765,279.18000000298025
93.0,7.0,966.3200000035763,153.08999999940394
94.0,8.0,976.050000000298,171.28000001192092
95.0,15.0,986.3400000143051,297.08000000149013
96.0,19.0,996.0399999986589,369.29999999284746
97.0,15.0,1006.1600000071526,297.29999999284746
98.0,11.0,1016.0800000014901,225.23999999046325
99.0,18.0,1026.1699999976158,351.31000001311304
100.0,28.0,1036.0999999973178,531.019999999106
