A,B,C,D
1.0,37.0,46.36999998569488,693.2399999904633
2.0,19.0,56.35000000476837,369.089999999404
3.0,14.0,66.01999999910593,279.34000001430513
4.0,39.0,76.35000000476838,729.0099999993295
5.0,7.0,86.23999999046326,152.99999999955295
6.0,19.0,96.21999999463559,369.2900000023842
7.0,36.0,106.08999999940396,675.3200000035763
8.0,8.0,116.0399999986589,171.32000000357627
9.0,9.0,126.05000000029803,189.07000000357627
10.0,29.0,136.21000000417231,549.3500000047684
11.0,19.0,146.21000000417231,368.98
12.0,25.0,156.23,477.18000000298025
13.0,15.0,166.28000001192092,297.0599999982119
14.0,25.0,176.15000000178813,477.0700000035763
15.0,17.0,186.32999999403953,333.1300000059605
16.0,22.0,196.25000001072883,422.999999999553
17.0,26.0,206.1999999988079,495.25000001072885
18.0,2.0,216.29000000238418,63.29000000238418
19.0,14.0,226.13000000596045,279.1600000071526
20.0,8.0,236.29000000238418,171.32000000357627
21.0,14.0,246.36999998569488,279.25000001072885
22.0,36.0,256.3200000035763,674.999999999553
23.0,10.0,266.10999999523165,207.05999999821185
24.0,14.0,276.2199999946356,278.9899999997765
25.0,15.0,286.1300000059605,297.0700000035763
26.0,25.0,296.0599999982119,477.34000001430513
27.0,4.0,306.3200000035763,99.03000000074506
28.0,38.0,316.12000000059606,711.089999999404
29.0,37.0,326.1899999934435,693.2900000023842
30.0,0.0,336.26999999165537,27.290000002384186
31.0,2.0,346.12000000059606,63.23
32.0,14.0,356.3500000047684,279.25000001072885
33.0,39.0,366.10999999523165,729.310000013113
34.0,3.0,376.01999999910595,81.21000000417233
35.0,3.0,386.0700000035763,81.05999999821186
36.0,27.0,396.0700000035763,513.2199999946356
37.0,37.0,405.98,692.98
38.0,5.0,416.0300000007451,116.98999999977649
39.0,2.0,426.2600000011921,63.23
40.0,38.0,436.1899999934435,711.089999999404
41.0,22.0,446.3699999856949,423.12000000059606
42.0,30.0,456.23,567.3500000047684
43.0,21.0,465.98,405.32999999403955
44.0,14.0,476.2399999904633,279.3200000035763
45.0,16.0,486.34000001430513,315.3500000047684
46.0,20.0,496.08000000149013,387.34000001430513
47.0,19.0,506.10999999523165,369.3200000035763
48.0,14.0,516.3400000143051,279.0700000035763
49.0,22.0,526.2699999916554,422.999999999553
50.0,30.0,536.1200000005961,567.0300000007451
51.0,28.0,546.3200000035763,531.310000013113
52.0,4.0,556.2199999946356,99.35000000476838
53.0,29.0,566.2100000041723,549.2900000023842
54.0,31.0,576.1699999976158,585.2399999904633
55.0,9.0,586.0399999986589,189.05999999821185
56.0,3.0,596.0800000014901,81.1899999934435
57.0,7.0,606.089999999404,153.18999999344348
58.0,4.0,616.3400000143051,99.16000000715256
59.0,20.0,626.1399999964237,387.18000000298025
60.0,38.0,635.999999999553,711.2199999946356
61.0,17.0,646.1399999964237,333.21000000417234
62.0,19.0,655.999999999553,369.25000001072885
63.0,35.0,666.0700000035763,657.3599999952316
64.0,9.0,676.1999999988079,189.3400000143051
65.0,9.0,686.1800000029803,189.25000001072883
66.0,2.0,696.2100000041723,63.199999998807904
67.0,5.0,706.2399999904633,117.10999999523163
68.0,38.0,715.999999999553,711.1500000017882
69.0,31.0,726.2199999946356,585.1800000029803
70.0,0.0,736.2600000011921,27.210000004172326
71.0,22.0,746.019999999106,423.26999999165537
72.0,17.0,756.1800000029803,333.31000001311304
73.0,21.0,766.1300000059605,405.089999999404
74.0,35.0,776.3299999940396,657.0599999982119
75.0,39.0,786.3299999940396,729.2399999904633
76.0,17.0,796.3299999940396,333.25000001072885
77.0,9.0,806.2500000107289,189.08999999940394
78.0,38.0,816.280000011921,711.2199999946356
79.0,30.0,826.2900000023842,567.1200000005961
80.0,19.0,835.98,369.18000000298025
81.0,0.0,846.1800000029803,27.169999997615815
82.0,38.0,856.050000000298,711.2699999916554
83.0,21.0,866.1399999964237,405.0399999986589
84.0,21.0,876.3400000143051,405.2399999904633
85.0,22.0,886.1999999988079,423.28000001192095
86.0,1.0,896.0800000014901,45.34000001430511
87.0,14.0,906.1800000029803,279.2600000011921
88.0,36.0,915.98,675.0399999986589
89.0,0.0,926.1200000005961,27.199999998807908
90.0,27.0,936.0399999986589,513.1500000017882
91.0,27.0,946.0599999982119,513.3500000047684
92.0,18.0,956.2600000011921,351.34000001430513
93.0,11.0,966.1399999964237,225.13000000596045
94.0,37.0,976.1500000017882,693.1399999964237
95.0,3.0,986.2999999928475,81.08999999940396
96.0,8.0,996.050000000298,170.98999999977647
97.0,13.0,1006.23,261.2900000023842
98.0,19.0,1016.0700000035763,369.12000000059606
99.0,0.0,1026.3400000143051,27.199999998807908
100.0,35.0,1036.030000000745,656.98
